"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"638495554561900544","","","2015-08-31 23:36:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#cmpe272 students pls subscribe  https://t.co/4jAhMeDbxb","","","","https://twitter.com/developerWorks/status/638494215056543744"
"638495378396962816","","","2015-08-31 23:35:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Must watch.. https://t.co/kzf7iDCQsN","","","","https://twitter.com/SoftLayer/status/638109360053465088"
"638488504297611270","","","2015-08-31 23:08:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Muhammad Ahmad Khan  #svcc  http://t.co/KWCy8qb7PS @sv_code_camp","","","","http://www.siliconvalley-codecamp.com//Session/2015/hacking-web-applications-practical-offense-and-defense"
"638488363683614720","","","2015-08-31 23:07:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chamberlin,Vargas  #svcc  http://t.co/nu5HC5MQ4O @sv_code_camp","","","","http://www.siliconvalley-codecamp.com//Session/2015/prototype-an-iot-healthcare-cloud-app-with-virtual-sensors"
"638488170196176896","","25649945","2015-08-31 23:06:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@ranjans  Rakesh Ranjan  #svcc  http://t.co/pbQVS1duzx @sv_code_camp","","","","http://www.siliconvalley-codecamp.com//Session/2015/become-a-self-proclaimed-data-scientist"
"638445974352826368","638445021633581056","1410422706","2015-08-31 20:19:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@LisaSeacat I remember see considered earlier but narrowed down to human, worth re considering. Thanks for forwarding.","","","",""
"638418729139736576","638381679745175552","1410422706","2015-08-31 18:31:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@LisaSeacat - Yes I am a proud dad. You are influencing thousands of kids ..keep it up. Thanks","","","",""
"638373729139978240","","","2015-08-31 15:32:12 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","My daughter was inspired by @LisaSeacat too, solved a problem to save infant's lives and now national semifinalists: https://t.co/WBSe1GVdrK","","","","https://icaskids.wordpress.com/"
"638372653435228160","","","2015-08-31 15:27:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IBM’s Dr. John Kelly Is Bringing Watson To Disrupt SF http://t.co/qTtuZ7Ou7m via @techcrunch","","","","http://on.tcrn.ch/l/GOqe"
"638372474736914432","","","2015-08-31 15:27:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IBM pushes #dashdb MPP engine to boost cloud database services line http://t.co/lO1ZZmezpA via @sdatamanagement","","","","http://bit.ly/1KXbQPL"
"638371786439000064","","","2015-08-31 15:24:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Why this IBM engineer tells high school girls that straight A's don't matter via @FortuneMagazine http://t.co/sIMDE9yNOl","","","","http://for.tn/1F38skg"
"638371534990503936","","","2015-08-31 15:23:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ANZ signs $450 million IBM deal to drive super-regional strategy http://t.co/8a3GmQnO65 via @FinancialReview","","","","http://www.afr.com/technology/anz-signs-450-million-ibm-deal-to-drive-superregional-strategy-20150831-gjbgru?stb=twt"
"638226161030447104","","","2015-08-31 05:45:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IBM Tests Machine Learning to Help Chinese Cities Decrease Air Pollution http://t.co/ET3S4235Km &gt;@TechReview","","","","http://www.technologyreview.com/news/540806/how-artificial-intelligence-can-fight-air-pollution-in-china/"
"637297075755970560","","","2015-08-28 16:13:57 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @IBMcloudant: Answers to your burning questions about #ApacheSpark http://t.co/XX4sa0vRiD #SparkInsight http://t.co/XcbVVmZQwK","637156459961303041","24537879","2015-08-28 06:55:12 +0000","http://ibm.co/1F0vwAk,https://twitter.com/IBMcloudant/status/637156459961303041/photo/1,http://ibm.co/1F0vwAk,https://twitter.com/IBMcloudant/status/637156459961303041/photo/1"
"637297035276783616","","","2015-08-28 16:13:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @IBMWatson: Speech to Text on Watson Developer Cloud converts the human voice into the written word. Demo: http://t.co/w218OVI9Pk http:/…","637082174378930176","29735775","2015-08-28 02:00:01 +0000","http://ibm.co/1Db7xgN,http://ibm.co/1Db7xgN,https://twitter.com/IBMWatson/status/637082174378930176/photo/1"
"637060606722359297","","","2015-08-28 00:34:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Getting up-to-speed with #dashDB in #Bluemix made easier with this tutorial: https://t.co/ct2XKqtypN","","","","https://github.com/CDSLab/CDSTutorials/tree/master/dashdb_tutorial"
"637060295509147648","","","2015-08-28 00:33:05 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Virtualized #IoT sensor makes you a smarter IoT developer, learn how using #Virtualsensor in #Bluemix https://t.co/zI3vbJ5jfE","","","","https://github.com/CDSLab/VirtualSensor/tree/master/WindMill"
"637059765839925248","","","2015-08-28 00:30:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#cmpe272 students please watch this video https://t.co/6QgLqAvDdA","","","","https://twitter.com/IBMIoT/status/631142148168024065"
"637059141714882560","","","2015-08-28 00:28:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @akrackeler: August 27: Women Who Code Austin, Bluemix IoT Hands-On Lab #austintech #IBMiot http://t.co/e9XIRQUT1x http://t.co/JhXG5OVHw3","636982884474097664","18906040","2015-08-27 19:25:28 +0000","http://bit.ly/1MR7SN8,https://twitter.com/akrackeler/status/636982884474097664/photo/1,http://bit.ly/1MR7SN8,https://twitter.com/akrackeler/status/636982884474097664/photo/1"
"637005214160056321","","","2015-08-27 20:54:12 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Very Inspiring -  Innovators Under 35 http://t.co/qrKm7fMm39 &gt;@TechReview","","","","http://www.technologyreview.com/lists/innovators-under-35/2015/humanitarian/rahul-panicker/"
"636942407179862017","","","2015-08-27 16:44:38 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BethTSmith: Congrats Ladies! @LisaSeacat @jmgarcia82  https://t.co/R0MelEIDmw","633681085466021888","568818502","2015-08-18 16:45:18 +0000","https://twitter.com/ibm/status/633651874718203904,https://twitter.com/ibm/status/633651874718203904"
